source_text,address_for_geocoding
1-я Дачная ул. (нет тротуара),"Россия, Владивосток, 1-я Дачная ул. (нет тротуара)"
125 (яма),"Россия, Владивосток, 125 (яма)"
15 (переход/разбитый асфальт),"Россия, Владивосток, 15 (переход/разбитый асфальт)"
Багратиона - Автовокзал (хотя там море,"Россия, Владивосток, Багратиона - Автовокзал (хотя там море"
Всё сразу не вспомнить,"Россия, Владивосток, Всё сразу не вспомнить"
Кольцо 3-й Рабочей,"Россия, Владивосток, Кольцо 3-й Рабочей"
Переход от Фирсова к Постышева в сторону Второй речки ниже моста,"Россия, Владивосток, Переход от Фирсова к Постышева в сторону Второй речки ниже моста"
Распределительный мост на Баляева. Ступеньки пришли в негодность (металлические из которых раскрошился наполнитель т. есть асфальт. Получается ступеньки с углублениями. Страшно зацепиться обувью или недошагнуть. Особенно сложно когда ходишь с костылём.) Мост необходимая часть передвижегия до аптеки,"Россия, Владивосток, Распределительный мост на Баляева. Ступеньки пришли в негодность (металлические из которых раскрошился наполнитель т. есть асфальт. Получается ступеньки с углублениями. Страшно зацепиться обувью или недошагнуть. Особенно сложно когда ходишь с костылём.) Мост необходимая часть передвижегия до аптеки"
С Океанскошо проспекта до  проспекта Красного Знамени 71а.,"Россия, Владивосток, С Океанскошо проспекта до  проспекта Красного Знамени 71а."
Семёновская развязка (шум и сложная ориентировка),"Россия, Владивосток, Семёновская развязка (шум и сложная ориентировка)"
Харьковская ул. (проблемы с тротуарами),"Россия, Владивосток, Харьковская ул. (проблемы с тротуарами)"
Я живу в районе 1000 мелочей,"Россия, Владивосток, Я живу в районе 1000 мелочей"
в магазин,"Россия, Владивосток, в магазин"
до остановки транспорта,"Россия, Владивосток, до остановки транспорта"
до поликлиники.,"Россия, Владивосток, до поликлиники."
необходимо преодолеть виадуки,"Россия, Владивосток, необходимо преодолеть виадуки"
неудобные совершенно для коляски,"Россия, Владивосток, неудобные совершенно для коляски"
перекрёсток с ул. Кирова),"Россия, Владивосток, перекрёсток с ул. Кирова)"
пляж и развлекательный центр).,"Россия, Владивосток, пляж и развлекательный центр)."
подземка  без панлуса,"Россия, Владивосток, подземка  без панлуса"
подземные переходы у центральной площади (район ГУМа),"Россия, Владивосток, подземные переходы у центральной площади (район ГУМа)"
пр-т 100-летия Владивостока — ул. Иртышская,"Россия, Владивосток, пр-т 100-летия Владивостока — ул. Иртышская"
пр-т Красного Знамени,"Россия, Владивосток, пр-т Красного Знамени"
район ТРЦ «Черёмушки» / ул. Черёмуховая,"Россия, Владивосток, район ТРЦ «Черёмушки» / ул. Черёмуховая"
ул. Запорожская — ул. Окатовая — ул. Вилкова (кольцо),"Россия, Владивосток, ул. Запорожская — ул. Окатовая — ул. Вилкова (кольцо)"
ул. Русская (участок 30–40а,"Россия, Владивосток, ул. Русская (участок 30–40а"
ул. Светланская — ул. Кирочная,"Россия, Владивосток, ул. Светланская — ул. Кирочная"
ул. Снеговая — Камский пер.,"Россия, Владивосток, ул. Снеговая — Камский пер."
ул. Фастовская — ул. Пихтовая,"Россия, Владивосток, ул. Фастовская — ул. Пихтовая"
ул. Фастовская — ул. Ужгородская,"Россия, Владивосток, ул. Фастовская — ул. Ужгородская"
ул. Юмашева — ул. Луговая,"Россия, Владивосток, ул. Юмашева — ул. Луговая"
чтобы попасть на остановку Гоголя направление в город,"Россия, Владивосток, чтобы попасть на остановку Гоголя направление в город"
4 во Владивостоке,"Россия, Владивосток, 4 во Владивостоке"
Автобус номер 7,"Россия, Владивосток, Автобус номер 7"
